Colaborador,Issues Atribuídas,Issues Concluídas,Issues em Andamento,Esforço Total (dias úteis),Tempo Médio Resolução (dias),Eficiência (issues/dia),Taxa de Conclusão (%),Milestones Envolvidas,Produtividade por Milestone
RaissaAndradeS,14,12,2,8.06,0.67,1.4889,85.71,4,3.0
MVConsorte,19,11,8,4.85,0.44,2.2702,57.89,4,2.75
,,,,,,,,,
RESUMO GERAL,33,23,10,12.91,0.56,1.7822,69.7,4,5.75
,,,,,,,,,
ANÁLISE POR MILESTONE,,,,,,,,,
Milestone,Issues Totais,Issues Fechadas,Taxa Conclusão (%),Esforço Total (dias),Esforço Médio (dias),Colaboradores Envolvidos,,,
Ponto de Controle 2,6,0,0.0,0.0,0,2,,,
Entrega Final,4,2,50.0,1.01,0.51,2,,,
Ponto de Controle 1,14,13,92.86,9.36,0.72,2,,,
Planejamento,5,5,100.0,1.35,0.27,2,,,
